Credit Max,Credit Starting Balance,Address,Identification Number,Savings Account Number,Last Name,Date of Birth,Checking Account Number,First Name,Credit Account Number,Phone Number,Checking Starting Balance,Savings Starting Balance
4885,-1670.13,"1313 Disneyland Dr, Anaheim, CA 92802",8,2007,Disney,"September 19, 1996",1007,Cinderella,3007,(714) 781-4636,1715.51,2861.19
6879,-1541.41,"1313 Disneyland Dr, Anaheim, CA 92802",17,2016,Lightyear,"December 31, 1950",1016,Buzz,3016,(714) 781-4636,1933.83,2872.48
9256,-103.76,"515 W. University Ave, El Paso, TX 79968",77,2076,P,"June 18, 1950",1076,Daniel,3076,(915) 747-5038,233.12,22.41
9735,-1305.38,"523 W. University Ave, El Paso, TX 79968",85,2084,X,"December 25, 1956",1084,Daniel,3084,(915) 747-5046,333.06,3848.42
6218,-219.44,"500 W. University Ave, El Paso, TX 79968",47,2046,Meraz,"September 7, 1986",1046,Eyan,3046,(915) 747-5010,402.48,3028.97
8167,-407.28,"1313 Disneyland Dr, Anaheim, CA 92802",1,2000,Mouse,"March 27, 2007",1000,Mickey,3000,(714) 781-4636,621.89,3011.08
7505,-410.86,"1313 Disneyland Dr, Anaheim, CA 92802",20,2019,Disney,"November 4, 1974",1019,Beast,3019,(714) 781-4636,788.71,3945.54
3173,-163.56,"1313 Disneyland Dr, Anaheim, CA 92802",31,2030,Eric,"November 20, 1980",1030,Prince,3030,(714) 781-4636,259.72,4993.44
7565,-554.50,"1313 Disneyland Dr, Anaheim, CA 92802",18,2017,Aladdin,"July 31, 1939",1017,Jafar,3017,(714) 781-4636,50.32,1064.08
9105,-866.97,"500 W. University Ave, El Paso, TX 79968",49,2048,Morales,"October 8, 2003",1048,David,3048,(915) 747-5012,1727.72,2732.41
6421,-597.03,"1313 Disneyland Dr, Anaheim, CA 92802",23,2022,Lion,"September 28, 1968",1022,Scar,3022,(714) 781-4636,1330.17,3377.08
3052,-748.62,"501 W. University Ave, El Paso, TX 79968",63,2062,A,"July 18, 1973",1062,Daniel,3062,(915) 747-5024,760.74,4653.07
5878,-1488.89,"505 W. University Ave, El Paso, TX 79968",67,2066,E,"January 2, 1929",1066,Daniel,3066,(915) 747-5028,741.32,1426.62
9854,-749.28,"500 W. University Ave, El Paso, TX 79968",43,2042,Diaz,"March 13, 1939",1042,Axel,3042,(915) 747-5006,1773.01,2652.72
3061,-1580.73,"506 W. University Ave, El Paso, TX 79968",68,2067,F,"May 26, 2015",1067,Daniel,3067,(915) 747-5029,760.41,1413.21
9363,-74.00,"507 W. University Ave, El Paso, TX 79968",69,2068,G,"June 14, 1966",1068,Daniel,3068,(915) 747-5030,850.36,2893.80
4594,-1439.56,"500 W. University Ave, El Paso, TX 79968",38,2037,Arce,"November 1, 1959",1037,Alfredo,3037,(915) 747-5001,416.13,3089.24
9753,-371.93,"500 W. University Ave, El Paso, TX 79968",56,2055,Roybal,"October 2, 1983",1055,Elias,3055,(915) 747-5019,788.79,347.33
7445,-1951.27,"500 W. University Ave, El Paso, TX 79968",41,2040,Bustamante,"July 12, 1936",1040,Brandon,3040,(915) 747-5004,1102.14,3839.44
8916,-148.13,"519 W. University Ave, El Paso, TX 79968",81,2080,T,"July 13, 1989",1080,Daniel,3080,(915) 747-5042,1535.14,3477.13
7263,-1685.02,"1313 Disneyland Dr, Anaheim, CA 92802",15,2014,Pan,"September 18, 1994",1014,Peter,3014,(714) 781-4636,1080.18,514.49
9867,-1270.55,"1313 Disneyland Dr, Anaheim, CA 92802",32,2031,Disney,"February 8, 2016",1031,Quasimodo,3031,(714) 781-4636,1396.99,3765.62
3269,-1182.15,"500 W. University Ave, El Paso, TX 79968",51,2050,Padron,"January 3, 1992",1050,Cesar,3050,(915) 747-5014,29.67,3106.53
9788,-396.37,"524 W. University Ave, El Paso, TX 79968",86,2085,Y,"February 20, 2003",1085,Daniel,3085,(915) 747-5047,600.79,477.56
8758,-1378.01,"1313 Disneyland Dr, Anaheim, CA 92802",34,2033,Disney,"October 8, 1935",1033,Mulan,3033,(714) 781-4636,1129.61,4615.52
7641,-1472.94,"500 W. University Ave, El Paso, TX 79968",48,2047,Monarrez,"July 14, 1949",1047,Alonso,3047,(915) 747-5011,1812.49,4357.16
7007,-1297.60,"500 W. University Ave, El Paso, TX 79968",40,2039,Blanco,"March 2, 1970",1039,Alejandro,3039,(915) 747-5003,1467.13,2863.55
7380,-1662.36,"500 W. University Ave, El Paso, TX 79968",46,2045,Mendez,"December 30, 1945",1045,Ricardo,3045,(915) 747-5009,99.14,2940.50
7292,-370.04,"1313 Disneyland Dr, Anaheim, CA 92802",19,2018,Mermaid,"March 3, 1965",1018,Ursela,3018,(714) 781-4636,252.17,3107.33
6807,-1019.02,"500 W. University Ave, El Paso, TX 79968",42,2041,Carrasco,"February 19, 2012",1041,Abel,3041,(915) 747-5005,1192.43,3304.95
8805,-1052.87,"525 W. University Ave, El Paso, TX 79968",87,2086,Z,"October 29, 2004",1086,Daniel,3086,(915) 747-5048,1568.49,2739.43
5937,-1392.96,"500 W. University Ave, El Paso, TX 79968",44,2043,Licerio,"August 14, 1987",1043,Alan,3043,(915) 747-5007,1284.78,2006.68
3128,-1686.35,"500 W. University Ave, El Paso, TX 79968",55,2054,Reyes Jimenez,"March 2, 1957",1054,Elizabeth,3054,(915) 747-5018,1713.92,1919.35
6796,-1877.70,"508 W. University Ave, El Paso, TX 79968",70,2069,H,"October 18, 1991",1069,Daniel,3069,(915) 747-5031,831.17,768.56
8795,-998.86,"511 W. University Ave, El Paso, TX 79968",73,2072,K,"August 25, 1995",1072,Daniel,3072,(915) 747-5034,1121.87,4176.20
7136,-1893.40,"1313 Disneyland Dr, Anaheim, CA 92802",25,2024,Disney,"January 19, 2008",1024,Gaston,3024,(714) 781-4636,1430.68,2366.72
5653,-833.71,"504 W. University Ave, El Paso, TX 79968",66,2065,D,"April 11, 2016",1065,Daniel,3065,(915) 747-5027,1193.68,4844.32
4296,-50.81,"514 W. University Ave, El Paso, TX 79968",76,2075,O,"November 27, 1929",1075,Daniel,3075,(915) 747-5037,1032.21,130.06
4612,-287.28,"1313 Disneyland Dr, Anaheim, CA 92802",3,2002,Mouse,"July 17, 1960",1002,Minnie,3002,(714) 781-4636,518.14,2543.28
6372,-502.68,"1313 Disneyland Dr, Anaheim, CA 92802",36,2035,Disney,"May 4, 1993",1035,Stitch,3035,(714) 781-4636,62.08,1842.56
